token_id,count,weight
113998,4626,0.7363021443257635
303649,4626,0.7363021443257635
106438,4626,0.7363021443257635
362587,4626,0.7363021443257635
202586,4626,0.7363021443257635
350484,4626,0.7363021443257635
338822,4626,0.7363021443257635
274041,4626,0.7363021443257635
106588,4626,0.7363021443257635
210574,4625,0.7361429782764064
52397,4625,0.7361429782764064
154878,4625,0.7361429782764064
54518,4625,0.7361429782764064
160964,4625,0.7361429782764064
140092,4625,0.7361429782764064
190580,4625,0.7361429782764064
196126,4625,0.7361429782764064
141768,4625,0.7361429782764064
163933,4625,0.7361429782764064
261256,4625,0.7361429782764064
147666,4625,0.7361429782764064
180505,4625,0.7361429782764064
362757,4625,0.7361429782764064
346312,4625,0.7361429782764064
132741,4625,0.7361429782764064
279236,4624,0.7359838122270493
255097,4624,0.7359838122270493
289047,4624,0.7359838122270493
142262,4624,0.7359838122270493
261355,4624,0.7359838122270493
192896,4624,0.7359838122270493
53724,4624,0.7359838122270493
8605,4624,0.7359838122270493
140067,4624,0.7359838122270493
290744,4624,0.7359838122270493
58279,4624,0.7359838122270493
273756,4624,0.7359838122270493
328241,4624,0.7359838122270493
126716,4624,0.7359838122270493
168802,4623,0.7358246461776923
362738,4623,0.7358246461776923
228763,4623,0.7358246461776923
263789,4623,0.7358246461776923
213549,4623,0.7358246461776923
220407,4623,0.7358246461776923
206377,4623,0.7358246461776923
190230,4623,0.7358246461776923
133642,4623,0.7358246461776923
148008,4623,0.7358246461776923
248727,4623,0.7358246461776923
284751,4623,0.7358246461776923
60943,4623,0.7358246461776923
227200,4623,0.7358246461776923
227163,4623,0.7358246461776923
18072,4623,0.7358246461776923
287063,4623,0.7358246461776923
136851,4623,0.7358246461776923
289197,4622,0.7356654801283352
56649,4622,0.7356654801283352
38421,4622,0.7356654801283352
134807,4622,0.7356654801283352
250632,4622,0.7356654801283352
54539,4622,0.7356654801283352
107091,4622,0.7356654801283352
113963,4622,0.7356654801283352
134618,4622,0.7356654801283352
101978,4622,0.7356654801283352
114279,4622,0.7356654801283352
215215,4622,0.7356654801283352
76657,4622,0.7356654801283352
201850,4622,0.7356654801283352
385167,4621,0.7355063140789782
195304,4621,0.7355063140789782
213688,4621,0.7355063140789782
133566,4621,0.7355063140789782
133100,4621,0.7355063140789782
304019,4621,0.7355063140789782
110896,4621,0.7355063140789782
213049,4621,0.7355063140789782
219663,4621,0.7355063140789782
304894,4621,0.7355063140789782
315115,4621,0.7355063140789782
95788,4620,0.7353471480296211
145178,4620,0.7353471480296211
365944,4620,0.7353471480296211
206636,4620,0.7353471480296211
38893,4620,0.7353471480296211
129198,4620,0.7353471480296211
82684,4620,0.7353471480296211
284671,4620,0.7353471480296211
199370,4620,0.7353471480296211
221889,4620,0.7353471480296211
112412,4620,0.7353471480296211
169902,4620,0.7353471480296211
211216,4620,0.7353471480296211
114619,4620,0.7353471480296211
82594,4620,0.7353471480296211
274320,4620,0.7353471480296211
138357,4620,0.7353471480296211
38043,4620,0.7353471480296211
142193,4620,0.7353471480296211
93451,4619,0.735187981980264
113007,4619,0.735187981980264
298836,4619,0.735187981980264
206462,4619,0.735187981980264
44661,4619,0.735187981980264
94519,4619,0.735187981980264
96872,4619,0.735187981980264
123742,4619,0.735187981980264
145453,4619,0.735187981980264
282205,4619,0.735187981980264
74195,4619,0.735187981980264
268323,4619,0.735187981980264
172618,4619,0.735187981980264
134145,4619,0.735187981980264
279754,4619,0.735187981980264
46628,4619,0.735187981980264
375666,4619,0.735187981980264
209612,4619,0.735187981980264
222811,4619,0.735187981980264
238780,4619,0.735187981980264
151669,4619,0.735187981980264
53057,4619,0.735187981980264
185194,4619,0.735187981980264
